NewVolSales,Base Price,Radio ,TV ,InStore,Facebook,Twitter,WebCamp,Online,Website Campaign ,Inserts,NewspaperInserts
18524,15.18032224,208,135.1,33.169,0,0,1,1,Website Campaign ,0,
18508,15.02927551,210,93.5,47.023,0,0,1,1,Website Campaign ,0,
17431,15.4869851,221,212.9,13.524,0,0,1,1,Website Campaign ,0,
18705,15.18032224,218,150,34.331,0,0,1,1,Website Campaign ,0,
18941,15.18032224,201,5.2,51.487,0,0,1,1,Website Campaign ,0,
17785,15.64263188,235,246.9,18.201,0,0,0,0,,0,
18289,15.18032224,239,213.9,34.074,0,0,0,0,,0,
17926,15.79984295,212,0.9,34.684,0,0,0,0,,0,
18312,15.79984295,239,195.8,39.253,0,0,0,0,,1,Insert
19126,15.64263188,280,193.9,38.735,0,0,0,0,,0,
18335,15.95863401,292,24.1,29.485,0,0,0,0,,0,
19054,15.64263188,312,162.3,48.611,0,0,0,0,,0,
18198,15.95863401,315,194.9,29.323,0,0,0,0,,0,
20495,15.64263188,343,159.2,50.935,0,0,0,0,,0,
18169,16.2810198,330,161.1,46.169,0,0,0,0,,0,
